num_critic_for_reviews,actor_2_name,actor_1_name,movie_title,num_voted_users,aspect_ratio,movie_facebook_likes
60,Brian Thompson,Dennis Quaid,DragonHeart ,78343,2.35,0
117,Don Cheadle,Salma Hayek,After the Sunset ,38298,2.35,782
287,Spencer Wilding,Nicolas Cage,Ghost Rider: Spirit of Vengeance ,87745,2.35,18000
96,Irene Papas,Christian Bale,Captain Corelli's Mandolin ,28099,2.35,0
26,Noureen DeWulf,Barry Corbin,Anger Management             ,26992,16.0,0
125,Brad Garrett,Vin Diesel,The Pacifier ,66308,2.35,0
117,Ashley Scott,Dwayne Johnson,Walking Tall ,53118,2.35,0
149,Siobhan Fallon Hogan,Tom Hanks,Forrest Gump ,1251222,2.35,59000
131,Beth Riesgraf,Jesse McCartney,Alvin and the Chipmunks ,57276,1.85,0
150,Blythe Danner,Robert De Niro,Meet the Parents ,260442,1.85,0
92,Frank Welker,Christian Bale,Pocahontas ,119675,1.78,0
169,Margot Kidder,Marlon Brando,Superman ,126357,2.35,0
57,James Coburn,Jada Pinkett Smith,The Nutty Professor ,86556,1.85,960
171,Michael Rapaport,Will Smith,Hitch ,244840,2.35,0
53,Abraham Benrubi,Brendan Fraser,George of the Jungle ,56168,1.85,5000
153,Thomas Ian Nicholas,Alyson Hannigan,American Wedding ,162331,2.35,0
491,Chris Mulkey,Tom Hanks,Captain Phillips ,323353,2.35,65000
247,James Franco,Mila Kunis,Date Night ,127571,2.35,0
26,Fred Rogers,Eric Idle,Casper ,85903,1.85,0
292,Chloë Grace Moretz,Denzel Washington,The Equalizer ,229574,2.35,56000
114,Frances Conroy,Bob Hoskins,Maid in Manhattan ,68417,2.35,0
82,Viggo Mortensen,Denzel Washington,Crimson Tide ,81026,2.35,0
201,Kurt Fuller,Will Smith,The Pursuit of Happyness ,338383,2.35,32000
231,Michael Irby,Erika Christensen,Flightplan ,126746,2.35,0
55,Dylan Baker,Demi Moore,Disclosure ,36587,2.35,0
110,Andre Braugher,Nicolas Cage,City of Angels ,94407,2.35,0
354,Vivica A. Fox,David Carradine,Kill Bill: Vol. 1 ,735784,2.35,13000
140,Adam Alexi-Malle,Robert Downey Jr.,Bowfinger ,56874,1.37,0
77,Don S. Davis,Christopher Judge,Stargate SG-1             ,63982,1.33,0
304,Michael Parks,Vivica A. Fox,Kill Bill: Vol. 2 ,512749,2.35,0
45,Jack Palance,Sylvester Stallone,Tango & Cash ,75365,2.35,0
49,Meryl Streep,Bruce Willis,Death Becomes Her ,78974,1.85,8000
146,Jason Connery,Xander Berkeley,Shanghai Noon ,96690,2.35,0
60,Joe Morton,Oliver Platt,Executive Decision ,40858,2.35,0
189,Ophelia Lovibond,Madeline Carroll,Mr. Popper's Penguins ,67191,1.85,14000
206,Thomas McDonell,Jet Li,The Forbidden Kingdom ,88049,2.35,0
118,Carlos Ponce,Amy Poehler,Free Birds ,18042,1.85,0
210,Holt McCallany,Charles S. Dutton,Alien 3 ,207686,2.35,0
76,Jimmy Nail,Andrea Corr,Evita ,29205,2.35,0
149,Natascha McElhone,Robert De Niro,Ronin ,145422,2.35,0
62,Bernard Hill,Tom Wilkinson,The Ghost and the Darkness ,46239,2.35,0
224,Matt Lucas,Julie Walters,Paddington ,49207,2.35,30000
265,Nicholas Braun,Will Forte,The Watch ,104066,2.35,15000
135,Jenna Boyd,Connie Nielsen,The Hunted ,35830,1.85,0
100,Maura Tierney,Anthony Hopkins,Instinct ,27191,2.35,0
123,Terence Bernie Hines,Matt Damon,Stuck on You ,44453,2.35,0
164,Maura Tierney,Will Ferrell,Semi-Pro ,67005,2.35,0
238,Russell Tovey,Salma Hayek,The Pirates! Band of Misfits ,36877,2.35,0
264,Michael Kelly,Angelina Jolie Pitt,Changeling ,199056,2.35,14000
47,Morgan Freeman,Keanu Reeves,Chain Reaction ,40346,1.85,1000
50,Kurt Fuller,Robert De Niro,The Fan ,38533,2.35,0
153,Minnie Driver,Gerard Butler,The Phantom of the Opera ,96654,2.35,0
202,Abbie Cornish,Eddie Redmayne,Elizabeth: The Golden Age ,54787,1.85,0
178,Sophie Okonedo,Charlize Theron,Æon Flux ,110614,2.35,0
84,Bruce Boxleitner,Billy Campbell,Gods and Generals ,13215,2.35,953
44,Lauren Holly,Hector Elizondo,Turbulence ,8983,2.35,316
93,Ronny Cox,Stephen Root,Imagine That ,10417,2.35,610
