duration,actor_1_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,num_user_for_reviews,imdb_score,aspect_ratio
152,22000,Adventure|Comedy|Drama|Music,Philip Seymour Hoffman,36897,822,7.9,1.85
86,13000,Animation|Comedy|Family|Fantasy,Bill Murray,14918,74,5.0,1.85
101,287,Action|Adventure|Crime|Thriller,Sunny Mabrey,993,213,4.3,2.35
87,865,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,1417,233,5.7,2.35
85,11000,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,Brad Pitt,11301,91,6.7,1.66
130,722,Horror|Sci-Fi|Thriller,Sean Pertwee,2525,857,6.7,2.35
173,26000,Action|Adventure|Sci-Fi,Chris Hemsworth,87697,1722,8.1,1.85
104,780,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,2109,243,6.1,2.35
121,19000,Crime|Drama|Mystery|Thriller,Scarlett Johansson,22833,644,5.6,2.35
140,11000,Action|Adventure|Drama|History|Romance|War,James Franco,12634,247,6.6,2.35
131,968,Action|Drama|Thriller,Clifton Collins Jr.,3012,281,6.9,2.35
91,889,Horror|Sci-Fi|Thriller,Robert Forster,1262,282,4.8,2.35
118,20000,Drama|Fantasy|Mystery|Romance,Matt Bomer,22447,126,6.2,2.35
130,5000,Fantasy|Horror|Mystery|Romance,Aidan Turner,10247,457,6.0,2.35
90,973,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,1865,109,4.9,1.85
103,794,Drama|Horror|Thriller,Dougray Scott,1467,411,5.6,2.35
122,11000,Comedy|Drama,Matthew McConaughey,15275,195,6.1,1.85
106,3000,Adventure|Family|Fantasy,Brendan Fraser,5329,110,6.1,2.35
103,19000,Action|Crime|Fantasy|Thriller,Scarlett Johansson,20881,290,4.8,2.35
107,40000,Action|Comedy|Mystery|Romance,Johnny Depp,42683,188,5.5,2.35
156,26000,Action|Adventure|Fantasy|Thriller,Jason Statham,26564,368,3.8,2.35
127,11000,Adventure|Drama|Romance|War,Angelina Jolie Pitt,12947,156,6.5,2.35
119,879,Action|Adventure|Fantasy,Li Gong,1026,9,6.0,2.35
132,11000,Action|Drama|War,James Franco,12133,183,6.7,2.35
108,16000,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,18239,1058,8.1,2.35
114,743,Comedy|Drama,Kelly Preston,2367,88,4.9,2.35
133,14000,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,16277,916,7.3,2.35
103,2000,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,5497,154,6.4,2.35
22,870,Comedy|Family|Fantasy,Nate Richert,2433,94,6.6,1.33
95,970,Comedy|Fantasy|Romance,Jon Heder,2876,263,6.7,1.85
90,1000,Comedy|Family|Romance|Sci-Fi,Taylor Negron,6299,85,3.6,1.85
87,13000,Action|Adventure|Thriller|War,Sylvester Stallone,14574,171,5.7,2.35
114,142,Comedy|Drama|Romance|Sport,Robert Baker,589,120,6.0,1.85
119,12000,Comedy|Western,Taylor Lautner,36167,143,4.9,2.35
103,963,Comedy|Drama|Romance,Michael Kelly,3150,121,4.7,2.35
125,1000,Comedy,Josh Gad,5081,281,6.3,2.35
97,14000,Action|Adventure|Horror|Sci-Fi,Milla Jovovich,16098,410,5.9,2.35
125,1000,Action|Adventure|Drama|History|War,David Oyelowo,4416,273,5.9,2.35
30,962,Comedy|Romance,Chris Noth,2558,238,7.0,1.33
136,18000,Drama|Mystery|Thriller,Keanu Reeves,45271,431,7.5,2.35
116,11000,Comedy,Adam Sandler,16484,198,5.6,2.35
