num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,facenumber_in_poster
49,Ray Walston,1000,2
161,David Rasche,310,0
156,Gary Oldman,12000,1
172,LeVar Burton,27000,0
161,Paul Adelstein,436,1
239,Ed Lauter,16000,0
258,Ray Winstone,2000,1
95,Penelope Ann Miller,510,0
105,Cathy Moriarty,22000,1
198,Al Pacino,22000,2
79,Miko Hughes,13000,1
210,Stephen Root,21000,0
125,Will Smith,13000,3
149,Zooey Deschanel,22000,1
77,Roger Rees,13000,0
77,Nona Gaye,287,2
225,Alan Dale,865,0
98,Adriano Giannini,11000,0
172,Joely Richardson,722,0
703,Robert Downey Jr.,26000,3
117,Susanna Thompson,780,0
240,Mia Kirshner,19000,0
123,Tyler Labine,11000,1
110,Delroy Lindo,968,3
100,Wilson Cruz,889,0
189,William Hurt,20000,0
212,Kevin Zegers,5000,3
127,Mike O'Malley,973,1
196,Camryn Manheim,794,2
115,Adam Goldberg,11000,0
161,Stephen Graham,3000,3
223,Jaime King,19000,1
181,Olivia Munn,40000,2
140,Mike Dopud,26000,3
54,Teri Polo,11000,2
14,Aaron Kwok,879,1
81,Clayne Crawford,11000,0
579,Ed Skrein,16000,0
56,Morgan Fairchild,743,1
490,Leonard Roberts,14000,0
218,Dylan Minnette,2000,4
20,Soleil Moon Frye,870,1
142,Ivana Milicevic,970,1
57,Mark Addy,1000,0
84,Kurtwood Smith,13000,1
186,Malcolm Goodwin,142,8
53,Adam Sandler,12000,4
133,Kim Shaw,963,2
246,Jessica Szohr,1000,2
253,Boris Kodjoe,14000,1
144,Nate Parker,1000,0
46,Kristin Davis,962,0
117,Al Pacino,18000,2
157,Leighton Meester,11000,2
60,Brian Thompson,2000,0
117,Don Cheadle,4000,2
287,Spencer Wilding,12000,1
96,Irene Papas,23000,2
26,Noureen DeWulf,883,1
125,Brad Garrett,14000,0
117,Ashley Scott,12000,1
149,Siobhan Fallon Hogan,15000,0
131,Beth Riesgraf,1000,0
150,Blythe Danner,22000,2
92,Frank Welker,23000,1
169,Margot Kidder,10000,0
57,James Coburn,851,1
171,Michael Rapaport,10000,1
53,Abraham Benrubi,3000,0
153,Thomas Ian Nicholas,3000,3
491,Chris Mulkey,15000,0
247,James Franco,15000,2
26,Fred Rogers,795,0
292,Chloë Grace Moretz,18000,0
114,Frances Conroy,5000,2
