genres,movie_title,actor_3_name,language,country,aspect_ratio
Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes ,Robert Maillet,English,USA,1.85
Adventure|Drama|History,Ben-Hur ,Moises Arias,English,USA,2.35
Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Atlantis: The Lost Empire ,Cree Summer,English,USA,2.35
Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Road Chip ,Jesse McCartney,English,USA,1.85
Drama|History|Thriller|War,Valkyrie ,Thomas Kretschmann,English,USA,1.85
Action|Comedy,You Don't Mess with the Zohan ,Kevin Nealon,English,USA,1.85
Action|Animation|Comedy|Sci-Fi,Pixels ,Josh Gad,English,USA,2.35
Adventure|Drama|Sci-Fi,A.I. Artificial Intelligence ,Kevin Sussman,English,USA,1.85
Comedy|Family|Fantasy|Horror|Mystery,The Haunted Mansion ,Marc John Jefferies,English,USA,2.35
Drama|Mystery|Sci-Fi|Thriller,Contact ,Larry King,English,USA,2.35
Action|Horror|Sci-Fi|Thriller,Hollow Man ,Joey Slotnick,English,USA,1.85
Crime|Mystery|Thriller,The Interpreter ,Michael Wright,Aboriginal,UK,2.35
Adventure|Family|Fantasy,Percy Jackson: Sea of Monsters ,Brandon T. Jackson,English,USA,2.35
Action|Adventure|Fantasy,Lara Croft Tomb Raider: The Cradle of Life ,Djimon Hounsou,English,USA,2.35
Action|Adventure|Comedy|Crime|Mystery|Thriller,Now You See Me 2 ,Sanaa Lathan,English,USA,2.35
Action|Adventure|Romance|Sci-Fi|Thriller,The Saint ,Velibor Topic,English,USA,2.35
Action|Crime|Thriller,Spy Game ,Catherine McCormack,English,Germany,2.35
Adventure|Sci-Fi|Thriller,Mission to Mars ,Kim Delaney,English,USA,2.35
Adventure|Animation|Comedy|Family|Musical,Rio ,Will.i.am,English,USA,2.35
Comedy|Drama|Sci-Fi,Bicentennial Man ,John Michael Higgins,English,USA,1.85
Action|Drama|Sci-Fi|Thriller,Volcano ,Gaby Hoffmann,English,USA,1.85
