actor_2_name,genres,actor_1_name,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,country,movie_facebook_likes
Brad Garrett,Action|Comedy|Drama|Family|Thriller,Vin Diesel,The Pacifier ,16884,bodyguard|death of husband|male nanny|nanny|wrestling match,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,225,Canada,0
Ashley Scott,Action|Crime,Dwayne Johnson,Walking Tall ,14146,casino|football|sheriff|special forces|violence,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,221,USA,0
Siobhan Fallon Hogan,Comedy|Drama,Tom Hanks,Forrest Gump ,15700,amputee|love|vietnam|vietnam war|war hero,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,1398,USA,59000
Beth Riesgraf,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,Alvin and the Chipmunks ,2847,based on cartoon|chipmunk|concert|fart joke|talking animal,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,146,USA,0
Blythe Danner,Comedy,Robert De Niro,Meet the Parents ,24286,cat|cia|jewish|male nurse|nurse,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,507,USA,0
Frank Welker,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,Pocahontas ,26754,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,216,USA,0
Margot Kidder,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,Superman ,12940,1970s|clark kent|planet|superhero|year 1978,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,497,USA,0
James Coburn,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,The Nutty Professor ,3155,face slap|formula|overweight|professor|teacher,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,99,USA,960
Michael Rapaport,Comedy|Romance,Will Smith,Hitch ,13426,advice|friendship|gossip|newspaper|quitting a job,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,372,USA,0
Abraham Benrubi,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,George of the Jungle ,4518,animal companion|heiress|hero|jungle|male objectification,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,103,USA,5000
Thomas Ian Nicholas,Comedy|Romance,Alyson Hannigan,American Wedding ,5713,bachelor party|blow job|breasts|friend|wedding,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,332,USA,0
Chris Mulkey,Biography|Drama|Thriller,Tom Hanks,Captain Phillips ,16281,hijacking|hostage|leader|ship|somalia,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,527,USA,65000
James Franco,Comedy|Crime|Romance|Thriller,Mila Kunis,Date Night ,39822,city|new york city|night|reservation|restaurant,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,207,USA,0
Fred Rogers,Comedy|Family|Fantasy,Eric Idle,Casper ,2638,casper|friendly ghost|ghost|maine|mansion,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,92,USA,0
Chloë Grace Moretz,Action|Crime|Thriller,Denzel Washington,The Equalizer ,37605,assassin|ex soldier|gangster|hanged man|mysterious past,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1,436,USA,56000
Frances Conroy,Comedy|Drama|Romance,Bob Hoskins,Maid in Manhattan ,7184,hotel|maid|new york city|place name in title|the bronx,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,242,USA,0
Viggo Mortensen,Action|Drama|Thriller|War,Denzel Washington,Crimson Tide ,30132,alabama|mutiny|order|radio|submarine,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,194,USA,0
Kurt Fuller,Biography|Drama,Will Smith,The Pursuit of Happyness ,11036,bus|intern|internship|salesman|stockbroker,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,611,USA,32000
Michael Irby,Drama|Mystery|Thriller,Erika Christensen,Flightplan ,2287,captain|flight|flight attendant|plane|search,http://www.imdb.com/title/tt0408790/?ref_=fn_tt_tt_1,600,USA,0
Dylan Baker,Drama|Thriller,Demi Moore,Disclosure ,3888,computer|marriage|non statutory female on male rape|promotion|sexual harassment,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1,95,USA,0
Andre Braugher,Drama|Fantasy|Romance,Nicolas Cage,City of Angels ,13905,angel|doctor|fall|heart surgeon|hospital,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1,322,Germany,0
Vivica A. Fox,Action,David Carradine,Kill Bill: Vol. 1 ,3983,bride|coma|japan|revenge|sword,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1,2105,USA,13000
Adam Alexi-Malle,Comedy,Robert Downey Jr.,Bowfinger ,22458,film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,358,USA,0
Don S. Davis,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Stargate SG-1             ,1359,2000s|21st century|alternate history|message from outer space|military,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,181,USA,0
