num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,genres,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes
608,3000,Jon Favreau,Action|Adventure|Sci-Fi,30426,3,armor|explosion|human bomb|missile attack|terrorist,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,USA,PG-13,200000000,2013,7.2,95000
451,11000,Alan Rickman,Adventure|Family|Fantasy,79957,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,PG,200000000,2010,6.5,24000
334,560,Kelsey Grammer,Action|Adventure|Fantasy|Sci-Fi|Thriller,21714,0,battle|mutant|outrage|walking through a wall|x men,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,English,Canada,PG-13,210000000,2006,6.8,0
376,760,Tyler Labine,Adventure|Animation|Comedy|Family|Fantasy,14863,0,cheating|fraternity|monster|singing in a car|university,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English,USA,G,200000000,2013,7.3,44000
366,464,Kevin Dunn,Action|Adventure|Sci-Fi,3218,0,autobot|decepticon|machine|sun|symbol,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English,USA,PG-13,200000000,2009,6.0,0
378,808,Sophia Myles,Action|Adventure|Sci-Fi,3988,2,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,English,USA,PG-13,210000000,2014,5.7,56000
525,11000,Mila Kunis,Adventure|Family|Fantasy,73441,4,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,PG,215000000,2013,6.4,60000
495,825,Andrew Garfield,Action|Adventure|Fantasy|Sci-Fi,28631,0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,English,USA,PG-13,200000000,2014,6.7,41000
469,1000,Olivia Wilde,Action|Adventure|Sci-Fi,25550,0,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,USA,PG,170000000,2010,6.8,30000
304,776,Thomas Kretschmann,Adventure|Animation|Comedy|Family|Sport,4482,0,best friend|car race|conspiracy|gadget car|spy,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English,USA,G,200000000,2011,6.3,10000
436,326,Temuera Morrison,Action|Adventure|Sci-Fi,17657,2,autopsy|lantern|planet|ring|test pilot,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,USA,PG-13,200000000,2011,5.6,24000
453,721,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,19085,3,college|day care|escape|teddy bear|toy,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English,USA,G,200000000,2010,8.3,30000
422,988,Bryce Dallas Howard,Action|Adventure|Sci-Fi,27468,0,death row|future|machine|rescue|skynet,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,English,USA,PG-13,200000000,2009,6.6,0
424,14000,Paul Walker,Action|Crime|Thriller,79150,0,car falling off a cliff|hospital|revenge|star died before release|terrorist,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English,USA,PG-13,190000000,2015,7.2,94000
654,1000,Brad Pitt,Action|Adventure|Horror|Sci-Fi|Thriller,32392,0,chaos|disease|infection|pandemic|zombie,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,USA,PG-13,190000000,2013,7.0,129000
539,20000,Peter Dinklage,Action|Adventure|Fantasy|Sci-Fi|Thriller,91434,7,dystopia|super strength|supernatural power|time paradox|time travel,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English,USA,PG-13,200000000,2014,8.0,82000
590,928,Bruce Greenwood,Action|Adventure|Sci-Fi,21411,0,admiral|captain|manhunt|mission|space,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,190000000,2013,7.8,92000
338,140,Ewen Bremner,Adventure|Fantasy,1766,1,bean|giant|king|no opening credits|princess,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English,USA,PG-13,195000000,2013,6.3,22000
490,77,Elizabeth Debicki,Drama|Romance,29770,4,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English,Australia,PG-13,105000000,2013,7.3,115000
306,236,Richard Coyle,Action|Adventure|Fantasy|Romance,16149,2,alamut|dagger|king|persia|princess,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English,USA,PG-13,200000000,2010,6.6,23000
575,919,Clifton Collins Jr.,Action|Adventure|Sci-Fi,19166,0,giant monster|kaiju|pilot|portal|robot,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English,USA,PG-13,190000000,2013,7.0,83000
428,581,Lester Speight,Action|Adventure|Sci-Fi,2593,2,autobot|decepticon|job interview|moon|spacecraft,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English,USA,PG-13,195000000,2011,6.3,46000
470,1000,Ray Winstone,Action|Adventure|Fantasy,14959,2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,USA,PG-13,185000000,2008,6.2,5000
298,113,Jack McGraw,Adventure|Animation|Comedy|Family|Fantasy,696,0,apatosaurus|asteroid|dinosaur|fear|river,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,English,USA,PG,,2015,6.8,20000
488,838,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,5005,0,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,USA,PG,185000000,2012,7.2,39000
322,105,Melissa Roxburgh,Action|Adventure|Sci-Fi|Thriller,1327,4,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,2016,7.5,30000
421,522,Fred Willard,Adventure|Animation|Family|Sci-Fi,2975,0,earth|obesity|plant|robot|soil,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,English,USA,G,180000000,2008,8.4,16000
162,173,Dana Ivey,Action|Comedy|Crime|Thriller,1125,2,ambassador|assassination|chinese|french|triad,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,PG-13,140000000,2007,6.2,0
367,310,Liam James,Action|Adventure|Sci-Fi,2144,0,ark|catastrophe|geologist|president|writer,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,200000000,2009,5.8,13000
240,10000,Colin Firth,Animation|Drama|Family|Fantasy,48878,0,charles dickens|christmas|christmas eve|ghost|scrooge,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,PG,200000000,2009,6.8,0
384,13000,Mila Kunis,Action|Adventure|Sci-Fi,47334,1,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,USA,PG-13,176000000,2015,5.4,44000
248,103,Alexander Skarsgård,Action|Adventure|Drama|Romance,21175,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,6.6,29000
