color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
,,,,0,,,,,,,,,,,,,,,,,PG,22000000,1982,,,,12000
,,,,607,,,,,,,,,,,,,,,,,PG,12000000,1977,,,,0
,,,,195,,,,,,,,,,,,,,,,,PG,22000000,2013,,,,0
,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,141
,,,,607,,,,,,,,,,,,,,,,,R,1800000,1971,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,211
,,,,20,,,,,,,,,,,,,,,,,PG,20000000,1979,,,,4000
,,,,32,,,,,,,,,,,,,,,,,PG-13,20000000,1969,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,124
,,,,503,,,,,,,,,,,,,,,,,PG-13,20000000,1985,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,53,,,,,,,,,,,,,,,,,PG-13,19500000,2015,,,,0
,,,,189,,,,,,,,,,,,,,,,,G,20000000,1969,,,,548
,,,,,,,,,,,,,,,,,,,,,TV-14,,,,,,0
,,,,329,,,,,,,,,,,,,,,,,R,20000000,2008,,,,971
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,23,,,,,,,,,,,,,,,,,,13000,2007,,,,30
,,,,10,,,,,,,,,,,,,,,,,R,25000000,2008,,,,314
,,,,5,,,,,,,,,,,,,,,,,R,20000000,2007,,,,0
,,,,0,,,,,,,,,,,,,,,,,G,20000000,2012,,,,1000
,,,,0,,,,,,,,,,,,,,,,,,,2014,,,,58
,,,,2,,,,,,,,,,,,,,,,,PG,20000000,2014,,,,70
,,,,23,,,,,,,,,,,,,,,,,R,20000000,2016,,,,0
,,,,160,,,,,,,,,,,,,,,,,PG-13,20000000,2015,,,,0
,,,,17,,,,,,,,,,,,,,,,,R,27220000,2013,,,,11000
,,,,0,,,,,,,,,,,,,,,,,R,19000000,1980,,,,37000
,,,,97,,,,,,,,,,,,,,,,,,27000000,2016,,,,1000
